Timestamp,Position_X,Position_Y,Position_Z,Camera_ID,Trial_ID,Modus,Target_ID
127,0.004184114285714285,1.018061714285715,0.5586945142857146,merged,1,Free,1
128,-0.008496600000000002,1.0274296000000005,0.5585282285714289,merged,1,Free,1
129,-0.012496885714285715,1.0339114571428578,0.5559811714285718,merged,1,Free,1
130,-3.962857142857448e-05,1.0375912000000005,0.5478884000000004,merged,1,Free,1
131,-0.013498828571428588,1.0515365428571435,0.545355485714286,merged,1,Free,1
132,-0.06680594285714289,1.0764057142857149,0.5543412000000003,Cam1,1,Free,1
133,-0.05891534285714288,1.0859669142857147,0.5464836857142861,Cam1,1,Free,1
134,0.003611628571428563,1.0795100571428577,0.5257468285714288,Cam1,1,Free,1
135,0.03177022857142858,1.0808788857142866,0.5137281714285717,Cam1,1,Free,1
136,0.030481942857142875,1.087175571428572,0.5104102285714288,Cam1,1,Free,1
137,0.025546057142857164,1.0920383142857149,0.5069480285714288,Cam1,1,Free,1
138,0.04375762857142859,1.0948486285714292,0.4966469142857146,Cam1,1,Free,1
139,0.03367805714285717,1.1040655428571435,0.49013525714285744,Cam1,1,Free,1
140,0.038979485714285736,1.108616571428572,0.4799112571428575,Cam1,1,Free,1
141,0.04444137142857146,1.1105618285714294,0.4725191714285717,Cam1,1,Free,1
142,0.0748219428571429,1.1074106285714294,0.46116988571428597,Cam1,1,Free,1
143,0.08742368571428576,1.1079833714285723,0.4560942000000003,Cam1,1,Free,1
144,0.07415200000000005,1.114086171428572,0.44864431428571455,Cam1,1,Free,1
145,0.04955768571428574,1.1237971142857148,0.43871960000000026,Cam1,1,Free,1
146,0.0355421142857143,1.128429171428572,0.4297771142857145,Cam1,1,Free,1
147,-0.006391285714285717,1.1483104571428577,0.4228279428571431,Cam1,1,Free,1
148,-0.03444577142857145,1.1636756000000008,0.4093895428571431,Cam1,1,Free,1
149,-0.06821802857142861,1.1813634571428577,0.39814271428571446,Cam1,1,Free,1
150,-0.07538800000000004,1.1852692000000005,0.3930808571428574,Cam1,1,Free,1
151,-0.10337800000000005,1.1981150000000005,0.3913634857142859,Cam1,1,Free,1
152,-0.07919228571428574,1.188817714285715,0.38210534285714315,Cam1,1,Free,1
153,-0.04765685714285718,1.1774860857142864,0.36858548571428595,Cam1,1,Free,1
154,-0.04150151428571431,1.1785351142857148,0.3587754285714288,Cam1,1,Free,1
155,-0.054261571428571465,1.1877475428571436,0.35539625714285733,Cam1,1,Free,1
156,-0.05862640000000004,1.1913302000000008,0.3448559142857145,Cam1,1,Free,1
157,-0.04905054285714289,1.1900026000000006,0.3249784000000001,Cam1,1,Free,1
158,-0.047328685714285744,1.1954069428571437,0.30105282857142873,Cam1,1,Free,1
159,-0.041150257142857166,1.1981182285714291,0.2842984000000002,Cam1,1,Free,1
160,-0.04490222857142859,1.203327114285715,0.26892980000000016,Cam1,1,Free,1
161,-0.021870542857142877,1.1958901714285721,0.25500037142857157,Cam1,1,Free,1
162,-0.018708485714285735,1.1964816571428578,0.23165317142857156,Cam1,1,Free,1
